Date,High_Low_Mean_3,High_Low_Mean_6,High_Low_Mean_9,High_Low_Mean_12,High_Low_Mean_18,High_Low_Mean_24,High_Low_Mean_30,High_Low_Mean_36,High_Low_Mean_42,High_Low_Mean_48,High_Low_Mean_54,High_Low_Mean_60
2006-06-28,16.135000228881836,15.940000057220459,16.50499963760376,19.34499979019165,19.34499979019165,18.864999771118164,18.59999990463257,17.794999599456787,17.494999885559082,17.494999885559082,17.414999961853027,17.414999961853027
2006-06-29,14.96500015258789,14.96500015258789,15.515000343322754,18.210000038146973,18.369999885559082,18.369999885559082,18.369999885559082,17.794999599456787,17.494999885559082,17.494999885559082,17.414999961853027,17.414999961853027
2006-06-30,14.869999885559082,14.869999885559082,15.194999694824219,16.9399995803833,18.274999618530273,18.274999618530273,18.274999618530273,17.899999618530273,17.494999885559082,17.494999885559082,17.414999961853027,17.414999961853027
2006-07-03,14.019999980926514,14.869999885559082,14.869999885559082,15.434999465942383,18.274999618530273,18.274999618530273,18.274999618530273,18.259999752044678,17.494999885559082,17.494999885559082,17.414999961853027,17.414999961853027
2006-07-05,13.755000114440918,14.869999885559082,14.869999885559082,15.420000076293945,18.274999618530273,18.274999618530273,18.274999618530273,18.274999618530273,17.494999885559082,17.494999885559082,17.414999961853027,17.414999961853027
2006-07-06,13.770000457763672,14.869999885559082,14.869999885559082,15.194999694824219,18.274999618530273,18.274999618530273,18.274999618530273,18.274999618530273,17.794999599456787,17.494999885559082,17.414999961853027,17.414999961853027
2006-07-07,14.010000228881836,14.019999980926514,14.869999885559082,14.869999885559082,18.274999618530273,18.274999618530273,18.274999618530273,18.274999618530273,17.794999599456787,17.494999885559082,17.494999885559082,17.414999961853027
2006-07-10,13.875,13.755000114440918,14.869999885559082,14.869999885559082,18.114999771118164,18.274999618530273,18.274999618530273,18.274999618530273,17.794999599456787,17.494999885559082,17.494999885559082,17.414999961853027
2006-07-11,13.890000343322754,13.770000457763672,14.869999885559082,14.869999885559082,16.9399995803833,18.274999618530273,18.274999618530273,18.274999618530273,17.899999618530273,17.494999885559082,17.494999885559082,17.414999961853027
2006-07-12,13.975000381469728,13.975000381469728,14.019999980926514,14.869999885559082,15.434999465942383,18.274999618530273,18.274999618530273,18.274999618530273,18.259999752044678,17.494999885559082,17.494999885559082,17.414999961853027
2006-07-13,15.46500015258789,15.46500015258789,15.28499984741211,15.28499984741211,15.420000076293945,18.274999618530273,18.274999618530273,18.274999618530273,18.274999618530273,17.494999885559082,17.494999885559082,17.414999961853027
2006-07-14,16.02500057220459,15.945000648498535,15.780000686645508,15.765000343322754,15.765000343322754,18.274999618530273,18.274999618530273,18.274999618530273,18.274999618530273,17.794999599456787,17.494999885559082,17.414999961853027
2006-07-17,16.980000495910645,15.945000648498535,15.945000648498535,15.765000343322754,15.765000343322754,18.274999618530273,18.274999618530273,18.274999618530273,18.274999618530273,17.794999599456787,17.494999885559082,17.494999885559082
2006-07-18,18.43000030517578,16.34000015258789,16.34000015258789,16.15999984741211,16.15999984741211,18.114999771118164,18.274999618530273,18.274999618530273,18.274999618530273,17.794999599456787,17.494999885559082,17.494999885559082
2006-07-19,17.02500009536743,16.420000076293945,16.34000015258789,16.175000190734863,16.15999984741211,16.9399995803833,18.274999618530273,18.274999618530273,18.274999618530273,17.899999618530273,17.494999885559082,17.494999885559082
2006-07-20,17.02500009536743,17.02500009536743,16.34000015258789,16.34000015258789,16.15999984741211,16.15999984741211,18.274999618530273,18.274999618530273,18.274999618530273,18.259999752044678,17.494999885559082,17.494999885559082
2006-07-21,16.045000553131104,17.02500009536743,16.34000015258789,16.34000015258789,16.15999984741211,16.15999984741211,18.274999618530273,18.274999618530273,18.274999618530273,18.274999618530273,17.494999885559082,17.494999885559082
