Date,AROON_down_3,AROON_up_3,AROON_down_6,AROON_up_6,AROON_down_9,AROON_up_9,AROON_down_12,AROON_up_12,AROON_down_18,AROON_up_18,AROON_down_24,AROON_up_24,AROON_down_30,AROON_up_30
2014-04-22,100.0,0.0,100.0,0.0,100.0,33.33333333333333,8.333333333333334,50.0,38.888888888888886,66.66666666666666,54.16666666666667,75.0,63.333333333333336,13.333333333333334
2014-04-23,66.66666666666667,0.0,83.33333333333334,16.666666666666668,88.88888888888889,22.22222222222222,0.0,41.66666666666667,33.33333333333333,61.11111111111111,50.0,70.83333333333334,60.0,10.0
2014-04-24,33.333333333333336,0.0,66.66666666666667,0.0,77.77777777777777,11.11111111111111,83.33333333333334,33.333333333333336,27.77777777777778,55.55555555555556,45.833333333333336,66.66666666666667,56.66666666666667,6.666666666666667
2014-04-25,0.0,100.0,50.0,0.0,66.66666666666666,0.0,75.0,25.0,22.22222222222222,50.0,41.66666666666667,62.50000000000001,53.333333333333336,3.3333333333333335
2014-04-28,33.333333333333336,100.0,33.333333333333336,100.0,55.55555555555556,11.11111111111111,66.66666666666667,16.666666666666668,16.666666666666664,44.44444444444444,37.5,58.333333333333336,50.0,0.0
2014-04-29,0.0,66.66666666666667,16.666666666666668,83.33333333333334,44.44444444444444,0.0,58.333333333333336,8.333333333333334,11.11111111111111,38.888888888888886,33.333333333333336,54.16666666666667,46.66666666666667,63.333333333333336
2014-04-30,100.0,33.333333333333336,0.0,66.66666666666667,33.33333333333333,77.77777777777777,50.0,0.0,5.555555555555555,33.33333333333333,29.166666666666668,50.0,43.333333333333336,60.0
2014-05-01,100.0,0.0,16.666666666666668,50.0,22.22222222222222,66.66666666666666,41.66666666666667,8.333333333333334,0.0,27.77777777777778,25.0,45.833333333333336,40.0,56.66666666666667
2014-05-02,100.0,0.0,100.0,33.333333333333336,100.0,55.55555555555556,100.0,0.0,100.0,22.22222222222222,20.833333333333336,41.66666666666667,36.66666666666667,53.333333333333336
2014-05-05,66.66666666666667,100.0,83.33333333333334,16.666666666666668,88.88888888888889,44.44444444444444,91.66666666666667,58.333333333333336,94.44444444444444,16.666666666666664,16.666666666666668,37.5,33.333333333333336,50.0
2014-05-06,33.333333333333336,66.66666666666667,66.66666666666667,0.0,77.77777777777777,33.33333333333333,83.33333333333334,50.0,88.88888888888889,11.11111111111111,12.5,33.333333333333336,30.0,46.66666666666667
2014-05-07,0.0,100.0,50.0,100.0,66.66666666666666,22.22222222222222,75.0,41.66666666666667,83.33333333333333,5.555555555555555,8.333333333333334,29.166666666666668,26.666666666666668,43.333333333333336
2014-05-08,100.0,66.66666666666667,33.333333333333336,83.33333333333334,55.55555555555556,11.11111111111111,66.66666666666667,33.333333333333336,77.77777777777777,0.0,4.166666666666667,25.0,23.333333333333336,40.0
2014-05-09,100.0,33.333333333333336,16.666666666666668,66.66666666666667,44.44444444444444,0.0,58.333333333333336,25.0,72.22222222222221,5.555555555555555,0.0,20.833333333333336,20.0,36.66666666666667
2014-05-12,100.0,0.0,100.0,50.0,100.0,66.66666666666666,100.0,16.666666666666668,100.0,0.0,100.0,16.666666666666668,100.0,33.333333333333336
2014-05-13,66.66666666666667,33.333333333333336,83.33333333333334,33.333333333333336,88.88888888888889,55.55555555555556,91.66666666666667,8.333333333333334,94.44444444444444,38.888888888888886,95.83333333333334,12.5,96.66666666666667,30.0
2014-05-14,33.333333333333336,0.0,66.66666666666667,16.666666666666668,77.77777777777777,44.44444444444444,83.33333333333334,0.0,88.88888888888889,33.33333333333333,91.66666666666667,8.333333333333334,93.33333333333334,26.666666666666668
2014-05-15,0.0,100.0,50.0,0.0,66.66666666666666,33.33333333333333,75.0,50.0,83.33333333333333,27.77777777777778,87.5,4.166666666666667,90.0,23.333333333333336
2014-05-16,33.333333333333336,66.66666666666667,33.333333333333336,16.666666666666668,55.55555555555556,22.22222222222222,66.66666666666667,41.66666666666667,77.77777777777777,22.22222222222222,83.33333333333334,0.0,86.66666666666667,20.0
2014-05-19,0.0,33.333333333333336,16.666666666666668,0.0,44.44444444444444,11.11111111111111,58.333333333333336,33.333333333333336,72.22222222222221,16.666666666666664,79.16666666666667,4.166666666666667,83.33333333333334,16.666666666666668
2014-05-20,33.333333333333336,0.0,0.0,50.0,33.33333333333333,0.0,50.0,25.0,66.66666666666666,11.11111111111111,75.0,0.0,80.0,13.333333333333334
2014-05-21,100.0,0.0,100.0,33.333333333333336,100.0,11.11111111111111,100.0,16.666666666666668,100.0,5.555555555555555,100.0,29.166666666666668,100.0,10.0
2014-05-22,100.0,33.333333333333336,100.0,16.666666666666668,100.0,0.0,100.0,8.333333333333334,100.0,0.0,100.0,25.0,100.0,6.666666666666667
2014-05-23,100.0,0.0,100.0,0.0,100.0,33.33333333333333,100.0,0.0,100.0,33.33333333333333,100.0,20.833333333333336,100.0,3.3333333333333335
2014-05-27,66.66666666666667,0.0,83.33333333333334,0.0,88.88888888888889,22.22222222222222,91.66666666666667,8.333333333333334,94.44444444444444,27.77777777777778,95.83333333333334,16.666666666666668,96.66666666666667,0.0
2014-05-28,33.333333333333336,0.0,66.66666666666667,16.666666666666668,77.77777777777777,11.11111111111111,83.33333333333334,0.0,88.88888888888889,22.22222222222222,91.66666666666667,12.5,93.33333333333334,3.3333333333333335
2014-05-29,0.0,0.0,50.0,0.0,66.66666666666666,0.0,75.0,25.0,83.33333333333333,16.666666666666664,87.5,8.333333333333334,90.0,0.0
2014-05-30,100.0,33.333333333333336,100.0,0.0,100.0,0.0,100.0,16.666666666666668,100.0,11.11111111111111,100.0,4.166666666666667,100.0,23.333333333333336
2014-06-02,100.0,100.0,100.0,100.0,100.0,11.11111111111111,100.0,8.333333333333334,100.0,5.555555555555555,100.0,0.0,100.0,20.0
2014-06-03,66.66666666666667,66.66666666666667,83.33333333333334,83.33333333333334,88.88888888888889,0.0,91.66666666666667,0.0,94.44444444444444,0.0,95.83333333333334,25.0,96.66666666666667,16.666666666666668
2014-06-04,33.333333333333336,100.0,66.66666666666667,100.0,77.77777777777777,0.0,83.33333333333334,0.0,88.88888888888889,5.555555555555555,91.66666666666667,20.833333333333336,93.33333333333334,13.333333333333334
2014-06-05,0.0,100.0,50.0,100.0,66.66666666666666,100.0,75.0,8.333333333333334,83.33333333333333,0.0,87.5,16.666666666666668,90.0,10.0
2014-06-06,100.0,66.66666666666667,100.0,83.33333333333334,100.0,88.88888888888889,100.0,0.0,100.0,16.666666666666664,100.0,12.5,100.0,6.666666666666667
2014-06-09,66.66666666666667,33.333333333333336,83.33333333333334,66.66666666666667,88.88888888888889,77.77777777777777,91.66666666666667,0.0,94.44444444444444,11.11111111111111,95.83333333333334,8.333333333333334,96.66666666666667,3.3333333333333335
2014-06-10,33.333333333333336,0.0,66.66666666666667,50.0,77.77777777777777,66.66666666666666,83.33333333333334,75.0,88.88888888888889,5.555555555555555,91.66666666666667,4.166666666666667,93.33333333333334,0.0
2014-06-11,0.0,100.0,50.0,33.333333333333336,66.66666666666666,55.55555555555556,75.0,66.66666666666667,83.33333333333333,0.0,87.5,0.0,90.0,20.0
2014-06-12,33.333333333333336,100.0,33.333333333333336,100.0,55.55555555555556,100.0,66.66666666666667,100.0,77.77777777777777,0.0,83.33333333333334,4.166666666666667,86.66666666666667,16.666666666666668
2014-06-13,0.0,66.66666666666667,16.666666666666668,83.33333333333334,44.44444444444444,88.88888888888889,58.333333333333336,91.66666666666667,72.22222222222221,5.555555555555555,79.16666666666667,0.0,83.33333333333334,13.333333333333334
2014-06-16,0.0,100.0,0.0,100.0,33.33333333333333,100.0,50.0,100.0,66.66666666666666,0.0,75.0,12.5,80.0,10.0
2014-06-17,0.0,100.0,16.666666666666668,100.0,22.22222222222222,100.0,41.66666666666667,100.0,61.11111111111111,100.0,70.83333333333334,8.333333333333334,76.66666666666667,6.666666666666667
2014-06-18,100.0,66.66666666666667,100.0,83.33333333333334,100.0,88.88888888888889,100.0,91.66666666666667,100.0,94.44444444444444,100.0,4.166666666666667,100.0,3.3333333333333335
2014-06-19,100.0,33.333333333333336,100.0,66.66666666666667,100.0,77.77777777777777,100.0,83.33333333333334,100.0,88.88888888888889,100.0,0.0,100.0,0.0
2014-06-20,100.0,0.0,100.0,50.0,100.0,66.66666666666666,100.0,75.0,100.0,83.33333333333333,100.0,0.0,100.0,3.3333333333333335
2014-06-23,66.66666666666667,0.0,83.33333333333334,33.333333333333336,88.88888888888889,55.55555555555556,91.66666666666667,66.66666666666667,94.44444444444444,77.77777777777777,95.83333333333334,4.166666666666667,96.66666666666667,0.0
2014-06-24,33.333333333333336,100.0,66.66666666666667,16.666666666666668,77.77777777777777,44.44444444444444,83.33333333333334,58.333333333333336,88.88888888888889,72.22222222222221,91.66666666666667,0.0,93.33333333333334,10.0
2014-06-25,0.0,100.0,50.0,0.0,66.66666666666666,33.33333333333333,75.0,50.0,83.33333333333333,66.66666666666666,87.5,75.0,90.0,6.666666666666667
2014-06-26,33.333333333333336,100.0,33.333333333333336,100.0,55.55555555555556,22.22222222222222,66.66666666666667,41.66666666666667,77.77777777777777,61.11111111111111,83.33333333333334,70.83333333333334,86.66666666666667,3.3333333333333335
2014-06-27,0.0,66.66666666666667,16.666666666666668,83.33333333333334,44.44444444444444,11.11111111111111,58.333333333333336,33.333333333333336,72.22222222222221,55.55555555555556,79.16666666666667,66.66666666666667,83.33333333333334,0.0
2014-06-30,66.66666666666667,33.333333333333336,0.0,66.66666666666667,33.33333333333333,0.0,50.0,25.0,66.66666666666666,50.0,75.0,62.50000000000001,80.0,0.0
2014-07-01,100.0,0.0,16.666666666666668,50.0,22.22222222222222,66.66666666666666,41.66666666666667,16.666666666666668,61.11111111111111,44.44444444444444,70.83333333333334,58.333333333333336,76.66666666666667,3.3333333333333335
2014-07-02,100.0,0.0,100.0,33.333333333333336,11.11111111111111,55.55555555555556,33.333333333333336,8.333333333333334,55.55555555555556,38.888888888888886,66.66666666666667,54.16666666666667,73.33333333333334,0.0
2014-07-03,100.0,0.0,100.0,16.666666666666668,100.0,44.44444444444444,100.0,0.0,100.0,33.33333333333333,100.0,50.0,100.0,60.0
2014-07-07,66.66666666666667,100.0,83.33333333333334,0.0,88.88888888888889,33.33333333333333,91.66666666666667,50.0,94.44444444444444,27.77777777777778,95.83333333333334,45.833333333333336,96.66666666666667,56.66666666666667
2014-07-08,33.333333333333336,100.0,66.66666666666667,100.0,77.77777777777777,100.0,83.33333333333334,100.0,88.88888888888889,22.22222222222222,91.66666666666667,41.66666666666667,93.33333333333334,53.333333333333336
2014-07-09,0.0,66.66666666666667,50.0,83.33333333333334,66.66666666666666,88.88888888888889,75.0,91.66666666666667,83.33333333333333,16.666666666666664,87.5,37.5,90.0,50.0
2014-07-10,0.0,100.0,33.333333333333336,100.0,55.55555555555556,100.0,66.66666666666667,100.0,77.77777777777777,100.0,83.33333333333334,100.0,86.66666666666667,100.0
